team,name,position,value,price,work_permit
BARÇA,OSCAR LEON DA SILVA,5,0,390000,EUR
BARÇA,ORIOL PAULÍ,3,285,250000,JFL
BARÇA,SERTAÇ SANLI,5,216,375000,EUR
BARÇA,JAN VESELY,5,0,650000,EUR
BARÇA,SERGI MARTÍNEZ,3,100,125000,JFL
BARÇA,NIKOLA KALINIC,3,0,510000,EUR
BARÇA,TOMAS SATORANSKY,1,0,500000,EUR
BARÇA,NICO LAPROVITTOLA,1,405,400000,EUR
BARÇA,ÁLEX ABRINES,3,128,300000,JFL
BARÇA,CORY HIGGINS,3,178,600000,EXT
BARÇA,MIKE TOBEY,5,206,430000,EUR
BARÇA,KYLE KURIC,3,268,275000,EUR
BARÇA,ROKAS JOKUBAITIS,1,324,330000,EUR
BARÇA,NIKOLA MIROTIC,5,678,750000,JFL
BAXI MANRESA,GIORDANO BORTOLANI,3,0,290000,EUR
BAXI MANRESA,JERRICK HARDING,1,0,410000,EXT
BAXI MANRESA,TYSON PÉREZ,5,0,350000,JFL
BAXI MANRESA,GUILLEM JOU,3,80,250000,JFL
BAXI MANRESA,DANI GARCÍA,1,59,120000,JFL
BAXI MANRESA,ELIAS VALTONEN,3,180,205000,EUR
BAXI MANRESA,BABATUNDE OLUMUYIWA,5,214,320000,COT
BAXI MANRESA,JUAMPI VAULET,3,149,275000,EUR
BAXI MANRESA,MARCUS LEE,5,0,380000,EXT
BAXI MANRESA,JUSTIN HAMILTON,5,0,500000,EUR
BAXI MANRESA,DANI PÉREZ,1,301,365000,JFL
BAXI MANRESA,BRANCOU BADIO,3,6,200000,COT
BÀSQUET GIRONA,MÁXIMO FJELLERUP,3,0,240000,EUR
BÀSQUET GIRONA,ERIC VILA,5,0,170000,JFL
BÀSQUET GIRONA,KAMERON TAYLOR,3,0,450000,EXT
BÀSQUET GIRONA,POL FIGUERAS,1,0,180000,JFL
BÀSQUET GIRONA,ROKO PRKACIN,5,0,380000,EUR
BÀSQUET GIRONA,QUINO COLOM,1,0,300000,JFL
BÀSQUET GIRONA,DUŠAN MILETIĆ,5,0,250000,EUR
BÀSQUET GIRONA,JOSEP FRANCH,1,0,175000,JFL
BÀSQUET GIRONA,ONDREJ HANZLIK,3,0,140000,JFL
BÀSQUET GIRONA,PATRICIO GARINO,3,0,330000,EUR
BÀSQUET GIRONA,JAUME SOROLLA,5,0,190000,JFL
CARPLUS FUENLABRADA,JEREMY SENGLIN,3,0,440000,EXT
